"212,0,0,-1",3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,0.0
"194,0,0,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"169,0,0,10",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"146,0,4,-1",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
"97,0,1,-1",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
"149,0,1,-1",3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0
"170,0,2,10",4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
"149,0,1,10",2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0
"130,0,1,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
"98,0,3,-1",4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
"113,0,0,-1",4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
"85,0,0,-1",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"74,0,0,-1",4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
"61,0,0,-1",4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0
"52,0,0,-1",2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0
"45,0,2,-1",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
"40,0,0,-1",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
"37,0,0,-1",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-1.0
"50,0,0,-1",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
"49,0,0,-1",4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0
"36,0,0,-1",4.0,4.0,7.0,7.0,7.0,7.0,7.0,4.0,-1.0
"10,0,0,-1",9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
"5,0,0,-1",19.0,19.0,19.0,7.0,19.0,7.0,19.0,19.0,14.0
"4,0,0,10",4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0
"9,0,0,10",4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
"16,0,0,10",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"272,0,1,-1",2.0,2,2,2,2,2,2,1.0,-1
